method,accuracy,stability,efficiency,runtime,success_rate,composite_score,max_error,l2_error,n_steps,type,stages,accuracy_normalized,stability_normalized,efficiency_normalized,runtime_normalized,composite_normalized
Table_1_4stage,0.028290786217595825,2.0,142.81573814790198,0.3501014709472656,1.0,0.9724875622763683,0.04329934356481308,0.034652923496362446,500,discovered,4,0.9746883423277636,0.6006006006006006,2.633282984843697,0.37975409621968775,1.0007144698209134
Table_2_6stage,0.028427635840719924,2.0,69.72830541244612,0.7170689105987549,1.0,0.9723581564224684,0.04324921485451893,0.03462183252552555,500,discovered,6,0.9794031541143673,0.6006006006006006,1.2856731518932838,0.7778026619964793,1.0005813079014187
RK4,0.029025468897386632,2.78,140.04185592426936,0.35703611373901367,1.0,0.9717932453814893,0.04305333237939457,0.034529851601084176,500,classical,4,0.9999999981366375,0.8348348348348348,2.5821372430915686,0.38727608405613223,1.0000000000525595
RK45,0.0290254689514716,3.33,54.234861566304104,0.9219162464141846,1.0,0.9717932453304123,0.043053332478917405,0.03452985167936399,500,classical,7,1.0,1.0,1.0,1.0,1.0
Gauss-Legendre-2,0.02890392365052642,inf,409.900219887613,0.12198090553283691,1.0,0.9719080440980573,0.04308306305687448,0.034537739632712866,500,classical,2,0.9958124603895842,inf,7.557873442462741,0.13231235050611656,1.000118130855711
Gauss-Legendre-3,0.028843606679989066,inf,215.67250595961653,0.23183298110961914,1.0,0.9719650231651188,0.04310149735717204,0.03454494972220848,500,classical,3,0.9937343898978309,inf,3.9766397429806104,0.25146859273967576,1.0001767637669143
