epoch,table_id,stages,is_explicit,consistency_order,stability_radius,max_error,l2_error,mean_error,error_percentile_95,runtime,n_steps,steps_per_second,efficiency_score,stability_score,convergence_rate,composite_score,success_rate,n_successful,n_total,rk4_accuracy_ratio,rk4_efficiency_ratio,rk4_stability_ratio,rk4_score_ratio,rk4_better_accuracy,rk4_better_efficiency,rk4_better_stability,rk4_better_overall,rk45_dormand_prince_accuracy_ratio,rk45_dormand_prince_efficiency_ratio,rk45_dormand_prince_stability_ratio,rk45_dormand_prince_score_ratio,rk45_dormand_prince_better_accuracy,rk45_dormand_prince_better_efficiency,rk45_dormand_prince_better_stability,rk45_dormand_prince_better_overall,gauss_legendre_2_accuracy_ratio,gauss_legendre_2_efficiency_ratio,gauss_legendre_2_stability_ratio,gauss_legendre_2_score_ratio,gauss_legendre_2_better_accuracy,gauss_legendre_2_better_efficiency,gauss_legendre_2_better_stability,gauss_legendre_2_better_overall,gauss_legendre_3_accuracy_ratio,gauss_legendre_3_efficiency_ratio,gauss_legendre_3_stability_ratio,gauss_legendre_3_score_ratio,gauss_legendre_3_better_accuracy,gauss_legendre_3_better_efficiency,gauss_legendre_3_better_stability,gauss_legendre_3_better_overall
1,2643440260560,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.06232190132141113,240,3850.973653102369,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,23.20947065192026,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,57.23677777480231,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,8.353347590064155,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,14.498142671874582,0.0,0.7232398866622085,True,False,False,False
1,2643440261328,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.059239864349365234,240,4051.325954843643,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,24.416975892461867,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,60.21460136032519,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,8.787942206302573,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,15.252428864651668,0.0,0.7232398866622085,True,False,False,False
1,2643440260944,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.07147669792175293,240,3357.73765406361,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,20.23678180089728,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,49.905842325589155,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,7.283443686519122,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,12.641208158908588,0.0,0.7232398866622085,True,False,False,False
1,2643440266192,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.0626990795135498,240,3827.8073914647175,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,23.069849683815058,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,56.89245909369189,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,8.303096444963286,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,14.410926347731188,0.0,0.7232398866622085,True,False,False,False
1,2643440261456,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.05432915687561035,240,4417.517476840169,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,26.62397914627885,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,65.65728278470903,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,9.582267315566126,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,16.631066427352078,0.0,0.7232398866622085,True,False,False,False
1,2643440262480,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.05619239807128906,240,4271.040358439972,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,25.74117477342928,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,63.48020264077933,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,9.26453616645735,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,16.079609483724244,0.0,0.7232398866622085,True,False,False,False
1,2643440270544,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.07009673118591309,240,3423.840112650379,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,20.635175352967785,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,50.88831898560238,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,7.426829973436007,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,12.89007064457649,0.0,0.7232398866622085,True,False,False,False
1,2643440261840,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.049772024154663086,240,4821.985926355271,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,29.061673987708314,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,71.66887176121747,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,10.459620902571865,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,18.153808937578738,0.0,0.7232398866622085,True,False,False,False
1,2643440266320,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.06405353546142578,240,3746.865778307154,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,22.582021886399165,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,55.689429018089776,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,8.127521774733864,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,14.106197424253704,0.0,0.7232398866622085,True,False,False,False
1,2643440255952,4,True,1,2.0,4.56924395718258e+47,1.2737397350850741e+47,1.5352022667558303,27.699528399640375,0.046831369400024414,240,5124.770064910271,1.0,0.0,0.0,0.7232398866622085,1.0,20,20,1.4735370311288497e-74,30.886526664121167,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,76.16913325696831,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,11.11640575283187,0.0,0.7232398866622085,True,False,False,False,1.4735370311288497e-74,19.29373043146239,0.0,0.7232398866622085,True,False,False,False
